brand,price,thickness,weight,screen_size,ppi,threads,ram,antiglare,touch_screen,cores,battery_capacity,battery_cell,hdmi,ethernet,multi_card_reader,thunderbolt,display_port,vga,backlit,fingerprint_sensor,usb2,usb3,typec,processor_gen,processor_brand,processor_model,graphics_brand,graphics_capacity,graphics_model,everyday_use,business,performance,gaming,hdd,ssd,popularity,quality_type,ppi_type
Apple,69990,slim,lite,13.3,227,8.0,8,0,0,8.0,49.9,2.0,0,0,0,1,0,0,1,0,0.0,2.0,2.0,1.0,apple,M1,apple,0.0,Integrated,0,0,1,0,,256.0,viral,high,high
HP,55999,thick,heavy,15.6,141,12.0,8,1,1,6.0,52.5,6.0,1,1,1,0,0,0,1,0,0.0,2.0,1.0,5.0,amd,5,amd,4.0,rx6500m,0,0,0,1,,512.0,regular,medium,medium
Asus,85990,thick,heavy,15.6,141,20.0,16,1,0,14.0,76.0,4.0,1,1,0,1,0,0,1,0,0.0,2.0,2.0,12.0,intel,i7,nvidia,4.0,rtx3050,0,0,1,0,,1024.0,regular,medium,medium
Samsung,49990,medium,medium,15.6,141,12.0,16,1,0,10.0,43.0,4.0,1,1,0,0,0,0,0,0,1.0,1.0,2.0,12.0,intel,i5,intel,0.0,Integrated,0,1,0,0,,512.0,popular,medium,medium
Dell,67190,thick,heavy,15.6,141,16.0,16,1,0,12.0,56.0,3.0,1,1,0,0,0,0,1,0,0.0,3.0,1.0,12.0,intel,i5,nvidia,4.0,rtx3050,0,0,0,1,,512.0,regular,medium,medium
HP,45990,slim,medium,15.6,141,12.0,16,1,0,6.0,50.0,3.0,1,0,1,0,0,0,1,0,0.0,2.0,1.0,5.0,amd,5,amd,0.0,Integrated,0,0,1,0,,512.0,regular,low,medium
Acer,34990,medium,lite,14.0,135,8.0,16,0,0,4.0,45.5,2.0,1,1,0,0,0,0,0,0,1.0,2.0,1.0,11.0,intel,i5,intel,0.0,Integrated,1,0,0,0,,512.0,popular,low,low
Acer,59990,thick,heavy,15.6,141,12.0,16,1,0,8.0,50.0,3.0,1,1,0,1,0,0,1,1,0.0,3.0,1.0,12.0,intel,i5,nvidia,4.0,Integrated,0,0,1,0,,512.0,popular,low,medium
Asus,58990,medium,medium,15.6,141,16.0,16,1,0,12.0,70.0,3.0,1,0,0,1,0,0,1,1,1.0,1.0,2.0,12.0,intel,i5,intel,0.0,Integrated,0,0,1,0,,512.0,regular,medium,medium
Asus,57990,thick,heavy,15.6,141,12.0,8,1,0,6.0,90.0,3.0,1,1,0,1,0,0,1,0,0.0,3.0,1.0,11.0,intel,i5,nvidia,4.0,rtx2050,0,0,0,1,,512.0,regular,medium,medium
HP,62990,thick,heavy,16.1,137,12.0,16,1,0,6.0,70.0,4.0,1,1,1,0,0,0,1,0,0.0,3.0,1.0,11.0,intel,i5,nvidia,4.0,gtx1650,0,0,0,1,,512.0,popular,low,low
Samsung,44990,medium,medium,15.6,141,12.0,8,1,0,10.0,43.0,4.0,1,1,0,0,0,0,0,0,1.0,1.0,2.0,12.0,intel,i5,intel,0.0,Integrated,0,1,0,0,,512.0,popular,low,medium
HP,41990,slim,medium,15.6,141,8.0,8,1,0,6.0,41.0,3.0,1,0,1,0,0,0,1,0,0.0,2.0,1.0,12.0,intel,i3,intel,0.0,Integrated,1,0,0,0,,512.0,popular,low,medium
Acer,79990,thick,heavy,15.6,141,12.0,16,1,0,8.0,86.0,6.0,1,1,0,0,0,0,1,0,0.0,3.0,1.0,13.0,intel,i5,nvidia,6.0,rtx4050,0,0,0,1,,512.0,regular,medium,medium
Asus,64990,medium,medium,15.6,141,16.0,16,1,0,10.0,42.0,3.0,1,0,0,0,0,0,1,1,1.0,2.0,1.0,12.0,intel,i7,intel,0.0,Integrated,0,0,1,0,,512.0,popular,low,medium
Acer,62990,slim,lite,14.0,243,16.0,16,1,0,12.0,50.0,3.0,1,0,0,1,0,0,1,1,0.0,2.0,2.0,12.0,intel,i5,intel,0.0,Integrated,0,0,1,0,,512.0,popular,high,high
Lenovo,59990,medium,medium,15.6,141,12.0,16,1,0,10.0,50.0,3.0,1,1,1,0,0,0,1,0,0.0,2.0,2.0,12.0,intel,i7,intel,0.0,Integrated,0,0,1,0,,512.0,regular,low,medium
Asus,80980,thick,heavy,15.6,141,16.0,16,1,0,8.0,90.0,4.0,1,1,0,1,0,0,1,0,0.0,3.0,1.0,11.0,intel,i7,nvidia,4.0,rtx3050,0,0,0,1,,1024.0,regular,low,medium
HP,38490,slim,lite,14.0,157,8.0,8,1,0,8.0,41.0,3.0,1,0,0,0,0,0,0,0,0.0,2.0,1.0,13.0,intel,i3,intel,0.0,Integrated,0,0,1,0,,512.0,regular,low,high
Asus,61990,medium,medium,16.0,283,16.0,16,1,0,8.0,50.0,3.0,1,0,0,0,0,0,1,1,1.0,2.0,1.0,5.0,amd,5,amd,0.0,Integrated,1,0,0,0,,512.0,regular,medium,high
Infinix,37990,slim,lite,14.0,157,12.0,16,0,0,10.0,50.0,3.0,1,0,0,0,0,0,1,0,0.0,0.0,2.0,12.0,intel,i5,intel,0.0,Integrated,0,0,1,0,,512.0,popular,low,high
Lenovo,148990,thick,heavy,16.0,236,20.0,32,1,0,14.0,99.0,3.0,1,1,0,1,0,0,1,0,0.0,3.0,2.0,13.0,intel,i9,nvidia,8.0,rtx4060,0,0,0,1,,1024.0,regular,low,high
HP,71960,thick,heavy,15.6,141,12.0,16,1,0,8.0,70.0,4.0,1,1,1,0,0,0,1,0,0.0,2.0,1.0,12.0,intel,i5,nvidia,4.0,rtx3050,0,0,0,1,,512.0,regular,medium,medium
Honor,46990,slim,lite,14.0,162,12.0,16,1,0,8.0,60.0,2.0,1,0,0,0,0,0,1,1,0.0,2.0,1.0,12.0,intel,i5,intel,0.0,Integrated,1,0,0,0,,512.0,popular,low,high
Wings,25990,medium,medium,15.6,141,8.0,8,1,0,4.0,17.85,2.0,1,0,0,0,0,0,1,0,1.0,2.0,1.0,11.0,intel,i3,intel,0.0,Integrated,0,1,0,0,,256.0,regular,medium,medium
Acer,49990,medium,heavy,15.6,141,12.0,16,0,0,8.0,50.0,3.0,1,1,0,0,0,0,1,0,0.0,3.0,1.0,12.0,intel,i5,nvidia,4.0,gtx1650,0,0,1,0,,512.0,popular,low,medium
MSI,63990,medium,medium,15.6,141,16.0,16,1,0,8.0,50.0,3.0,1,1,0,0,0,0,1,0,0.0,3.0,1.0,11.0,intel,i7,nvidia,4.0,rtx3050,0,0,1,0,512.0,512.0,popular,medium,medium
MSI,64990,medium,medium,15.6,141,16.0,16,1,0,8.0,52.4,3.0,1,1,0,0,0,0,1,0,0.0,3.0,1.0,11.0,intel,i7,nvidia,4.0,rtx3050,0,0,0,1,,512.0,popular,medium,medium
Dell,37516,medium,medium,15.6,141,8.0,8,1,0,6.0,41.0,3.0,1,0,1,0,1,0,0,0,1.0,2.0,0.0,12.0,intel,i3,intel,0.0,Integrated,1,0,0,0,,512.0,popular,low,medium
Asus,53981,medium,medium,16.0,142,12.0,16,1,0,6.0,50.0,3.0,1,0,0,0,0,0,1,1,1.0,2.0,1.0,5.0,amd,5,amd,0.0,Integrated,0,0,0,1,,512.0,regular,low,medium
HP,22980,medium,lite,14.0,112,12.0,8,1,0,2.0,38.0,2.0,1,1,1,0,0,0,0,0,0.0,2.0,1.0,7.0,amd,3,amd,0.0,Integrated,1,0,0,0,512.0,512.0,popular,low,low
Xiaomi,46990,slim,medium,15.6,242,8.0,16,0,0,4.0,38.0,2.0,1,0,0,1,0,0,1,1,1.0,1.0,1.0,11.0,intel,i5,intel,0.0,Integrated,1,0,0,0,,512.0,viral,low,high
Lenovo,56990,slim,lite,14.0,141,12.0,16,1,0,8.0,56.6,2.0,1,0,0,0,0,0,1,0,0.0,2.0,2.0,12.0,intel,i5,intel,0.0,Integrated,1,0,0,0,,512.0,regular,high,medium
Infinix,29990,thick,lite,14.0,157,8.0,8,0,0,6.0,50.0,3.0,1,0,0,0,0,0,1,0,0.0,0.0,2.0,12.0,intel,i3,intel,0.0,Integrated,0,0,1,0,,512.0,regular,medium,high
Asus,89990,thick,heavy,16.0,142,16.0,16,1,0,10.0,72.0,4.0,1,0,0,1,0,0,1,0,0.0,2.0,1.0,13.0,intel,i5,nvidia,6.0,rtx3050,0,0,0,1,,512.0,regular,high,medium
Asus,55990,medium,medium,15.6,141,16.0,8,1,0,12.0,42.0,3.0,1,0,0,0,0,0,1,1,1.0,2.0,1.0,12.0,intel,i5,intel,0.0,Integrated,0,0,1,0,,512.0,regular,low,medium
Acer,27990,medium,medium,15.6,141,4.0,8,1,0,2.0,36.0,3.0,1,1,1,0,0,0,0,0,1.0,2.0,1.0,11.0,intel,i3,intel,0.0,Integrated,0,0,1,0,,512.0,regular,medium,medium
Acer,24990,medium,lite,14.0,157,4.0,8,1,0,2.0,45.5,2.0,1,1,0,0,0,0,0,0,1.0,2.0,1.0,11.0,intel,i3,intel,0.0,Integrated,1,0,0,0,,256.0,popular,low,high
Acer,32990,medium,lite,14.0,135,8.0,8,0,0,4.0,45.5,2.0,1,1,0,0,0,0,0,0,1.0,2.0,1.0,11.0,intel,i5,intel,0.0,Integrated,1,0,0,0,,512.0,popular,low,low
HP,36850,slim,medium,15.6,100,12.0,8,1,0,6.0,41.0,3.0,1,1,1,0,0,0,0,0,0.0,2.0,1.0,5.0,amd,5,amd,0.0,Integrated,1,0,0,0,,512.0,regular,low,low
Lenovo,36990,medium,medium,15.6,147,12.0,8,1,0,6.0,38.0,2.0,1,1,0,0,0,0,0,0,1.0,1.0,1.0,5.0,amd,5,amd,0.0,Integrated,0,0,1,0,,512.0,regular,low,high
Dell,67990,thick,heavy,15.6,141,16.0,8,1,0,12.0,41.0,3.0,1,1,0,0,0,0,1,0,1.0,3.0,1.0,12.0,intel,i5,nvidia,4.0,rtx3050,0,0,0,1,,512.0,popular,medium,medium
Lenovo,18990,medium,medium,14.0,157,2.0,8,1,0,2.0,38.0,2.0,1,0,1,0,0,0,0,0,1.0,1.0,1.0,7.0,amd,3,amd,0.0,Integrated,1,0,0,0,,256.0,regular,low,high
Dell,35980,thick,medium,15.56,147,4.0,8,0,0,2.0,50.0,3.0,1,0,1,0,0,0,1,0,1.0,2.0,0.0,11.0,intel,i3,intel,0.0,Integrated,1,0,0,0,,512.0,popular,low,high
HP,80990,thick,heavy,16.1,137,16.0,16,1,0,8.0,70.0,4.0,1,1,0,0,0,0,1,0,0.0,3.0,1.0,7.0,amd,7,nvidia,6.0,rtx3050,0,0,0,1,,512.0,regular,low,low
HP,53999,thick,medium,15.6,141,12.0,8,1,0,10.0,41.0,3.0,1,0,1,0,0,0,0,0,0.0,0.0,1.0,12.0,intel,i5,intel,0.0,Integrated,1,0,0,0,,512.0,regular,medium,medium
Lenovo,58989,slim,medium,16.0,141,12.0,16,1,0,8.0,56.6,3.0,1,0,0,0,0,0,1,0,0.0,2.0,2.0,12.0,intel,i5,intel,0.0,Integrated,1,0,0,0,,512.0,regular,high,medium
MSI,126990,thick,heavy,15.6,141,20.0,16,1,0,14.0,53.5,3.0,1,1,0,0,0,0,1,0,1.0,2.0,1.0,13.0,intel,i9,nvidia,8.0,rtx4060,0,0,1,0,,1024.0,regular,low,medium
Acer,42999,medium,medium,15.6,141,8.0,16,1,0,4.0,36.0,3.0,1,1,1,0,0,0,0,0,1.0,2.0,1.0,11.0,intel,i5,intel,0.0,Integrated,0,0,1,0,,512.0,regular,low,medium
Dell,84499,medium,medium,14.0,141,16.0,16,1,0,12.0,54.0,4.0,1,0,1,0,0,0,1,1,0.0,2.0,1.0,13.0,intel,i7,intel,0.0,Integrated,1,0,0,0,,1024.0,regular,low,medium
Infinix,30990,slim,lite,14.0,157,4.0,8,0,0,2.0,50.0,2.0,1,0,0,0,0,0,1,0,0.0,2.0,2.0,11.0,intel,i3,intel,0.0,Integrated,1,0,0,0,,256.0,popular,medium,high
HP,74990,slim,medium,15.6,141,16.0,16,1,0,12.0,41.0,3.0,1,0,0,0,0,0,1,0,0.0,2.0,1.0,13.0,intel,i5,intel,0.0,Integrated,0,0,1,0,,512.0,regular,high,medium
HP,62750,thick,heavy,16.1,137,12.0,16,1,0,6.0,70.0,4.0,1,1,1,0,1,0,1,0,0.0,3.0,1.0,11.0,intel,i5,nvidia,4.0,gtx1650,0,0,0,1,,512.0,popular,medium,low
Asus,65990,medium,medium,15.6,141,12.0,16,1,0,6.0,50.0,3.0,1,0,0,0,0,0,1,1,2.0,1.0,1.0,5.0,amd,5,nvidia,4.0,rtx3050,0,0,0,1,,512.0,popular,medium,medium
Primebook,11990,medium,lite,11.6,135,12.0,4,0,0,8.0,38.0,2.0,0,0,0,0,0,0,0,0,0.0,2.0,0.0,7.0,mediatek,7,arm,0.0,Integrated,1,0,0,0,64.0,64.0,popular,low,low
Acer,49990,slim,medium,15.6,141,16.0,16,1,0,12.0,50.0,3.0,1,1,0,1,0,0,1,0,0.0,2.0,2.0,12.0,intel,i5,nvidia,4.0,rtx2050,0,0,0,1,,512.0,popular,low,medium
Dell,72990,thick,heavy,15.6,141,16.0,16,1,0,12.0,56.0,3.0,1,1,0,0,0,0,1,0,1.0,3.0,0.0,12.0,intel,i5,nvidia,4.0,rtx3050,0,0,0,1,,512.0,popular,low,medium
Asus,29990,medium,medium,15.6,141,4.0,8,1,0,2.0,37.0,2.0,1,0,0,0,0,0,1,1,2.0,1.0,1.0,11.0,intel,i3,intel,0.0,Integrated,0,0,1,0,,256.0,regular,high,medium
Acer,144990,thick,heavy,16.0,142,32.0,16,1,0,24.0,90.0,4.0,1,1,0,1,0,0,1,0,0.0,3.0,2.0,13.0,intel,i9,nvidia,8.0,rtx4070,0,0,1,0,,1024.0,regular,high,medium
Asus,109990,medium,lite,14.0,243,20.0,16,1,0,14.0,63.0,3.0,1,0,0,0,0,0,1,1,0.0,2.0,1.0,13.0,intel,i9,nvidia,4.0,rtx3050,0,0,1,0,,1024.0,regular,low,high
HP,87990,thick,heavy,15.6,137,16.0,16,1,0,10.0,70.0,4.0,1,1,1,0,0,0,1,0,0.0,2.0,1.0,12.0,intel,i7,nvidia,4.0,rtx3050,0,0,0,1,,1024.0,regular,high,low
Asus,88990,thick,heavy,17.3,170,16.0,16,1,0,8.0,56.0,4.0,1,1,0,0,0,0,1,0,0.0,2.0,2.0,6.0,amd,7,nvidia,4.0,rtx3050,0,0,0,1,,512.0,regular,medium,high
HP,56990,thick,heavy,15.6,141,12.0,16,1,0,6.0,52.5,3.0,1,1,1,0,0,0,1,0,0.0,2.0,1.0,5.0,amd,5,amd,4.0,rx6500m,0,0,0,1,,512.0,regular,low,medium
MSI,48990,medium,medium,15.6,141,12.0,16,1,0,6.0,50.0,3.0,1,1,0,1,0,0,1,0,0.0,3.0,1.0,11.0,intel,i5,nvidia,4.0,gtx1650,0,0,1,0,,512.0,regular,medium,medium
Lenovo,93050,thick,heavy,15.6,184,12.0,16,1,0,8.0,60.0,3.0,1,1,0,1,0,0,1,0,0.0,3.0,1.0,12.0,intel,i5,nvidia,6.0,rtx3050,0,0,0,1,,512.0,popular,medium,high
Lenovo,89999,thick,heavy,15.6,184,12.0,8,1,0,8.0,60.0,3.0,1,1,0,1,0,0,1,0,0.0,3.0,1.0,13.0,intel,i5,nvidia,8.0,rtx4060,0,0,0,1,,512.0,regular,low,high
Walker,13990,slim,lite,14.1,156,2.0,4,1,0,2.0,18.5,2.0,1,0,0,0,0,0,0,0,1.0,1.0,0.0,7.0,intel,7,intel,0.0,Integrated,0,0,1,0,,256.0,regular,low,high
Asus,76990,thick,heavy,15.6,141,16.0,8,1,0,12.0,90.0,4.0,1,1,0,1,0,0,1,0,1.0,2.0,1.0,12.0,intel,i5,nvidia,4.0,rtx3050,0,0,1,0,,512.0,regular,medium,medium
Lenovo,23990,slim,medium,15.6,100,2.0,8,1,0,2.0,38.0,2.0,1,0,1,0,0,0,1,0,1.0,1.0,1.0,7.0,amd,7,amd,0.0,Integrated,0,0,1,0,,512.0,regular,high,low
Infinix,23990,slim,lite,14.0,157,4.0,8,0,0,2.0,50.0,2.0,1,0,0,0,0,0,1,0,0.0,2.0,2.0,11.0,intel,i3,intel,0.0,Integrated,1,0,0,0,,512.0,popular,low,high
Acer,97989,thick,heavy,15.6,188,16.0,16,1,0,10.0,57.5,4.0,1,1,0,0,0,0,1,0,0.0,3.0,1.0,12.0,intel,i7,nvidia,8.0,rtx3070ti,0,0,0,1,,1024.0,popular,medium,high
Asus,109990,thick,heavy,15.6,141,20.0,16,1,0,14.0,90.0,4.0,1,1,0,1,0,0,1,0,0.0,2.0,2.0,12.0,intel,i7,nvidia,8.0,rtx4060,0,0,1,0,,512.0,regular,medium,medium
Asus,47741,medium,medium,15.6,141,12.0,8,1,0,10.0,42.0,3.0,1,0,0,0,0,0,1,1,1.0,2.0,1.0,12.0,intel,i5,intel,0.0,Integrated,0,0,1,0,,512.0,regular,low,medium
Asus,75990,slim,medium,15.6,212,16.0,16,1,0,12.0,72.0,4.0,1,0,0,1,0,0,1,1,1.0,1.0,1.0,13.0,intel,i5,intel,0.0,Integrated,0,0,1,0,,512.0,regular,medium,high
MSI,59990,thick,heavy,15.6,141,16.0,16,1,0,8.0,53.5,3.0,1,1,0,0,0,0,1,0,1.0,2.0,1.0,5.0,amd,5,amd,4.0,rx6500m,0,0,1,0,,512.0,popular,medium,medium
Apple,126990,slim,medium,15.3,224,8.0,8,0,0,8.0,66.5,4.0,0,0,0,1,1,0,1,1,0.0,0.0,2.0,2.0,apple,M2,apple,0.0,Integrated,0,0,1,0,,256.0,regular,medium,high
Infinix,23990,medium,medium,15.6,141,4.0,8,1,0,4.0,40.0,2.0,1,0,0,0,0,0,1,0,0.0,2.0,2.0,11.0,intel,5,intel,0.0,Integrated,0,0,1,0,,512.0,viral,low,medium
Asus,69990,medium,medium,15.6,141,16.0,16,1,0,8.0,50.0,3.0,1,0,0,0,0,0,1,1,2.0,1.0,1.0,5.0,amd,5,nvidia,4.0,rtx3050,0,0,0,1,,512.0,regular,low,medium
Acer,33999,medium,medium,15.6,141,8.0,8,0,0,4.0,40.0,3.0,1,0,0,0,0,0,0,0,0.0,2.0,1.0,7.0,amd,3,amd,0.0,Integrated,1,0,0,0,,512.0,popular,low,medium
Acer,47990,slim,medium,15.6,141,12.0,12,1,0,10.0,50.0,3.0,1,1,0,1,0,0,1,1,0.0,3.0,1.0,12.0,intel,i5,intel,0.0,Integrated,0,0,0,1,,512.0,regular,low,medium
Xiaomi,59990,slim,lite,14.0,215,12.0,16,1,0,8.0,38.0,2.0,1,0,0,1,0,0,1,1,0.0,1.0,1.0,12.0,intel,i5,nvidia,2.0,mx550,1,0,0,0,,512.0,regular,low,high
Acer,69990,thick,heavy,15.6,141,16.0,16,1,0,8.0,72.0,4.0,1,0,0,1,0,0,1,0,1.0,2.0,1.0,12.0,intel,i5,nvidia,4.0,rtx3050,0,0,0,1,,512.0,popular,medium,medium
Infinix,37990,slim,lite,14.0,157,8.0,16,0,0,4.0,50.0,2.0,1,0,0,0,0,0,1,0,0.0,2.0,2.0,11.0,intel,i5,intel,0.0,Integrated,1,0,0,0,,1024.0,regular,medium,high
Dell,184999,slim,medium,15.6,145,12.0,16,1,0,6.0,86.0,6.0,0,0,1,1,0,0,1,0,0.0,0.0,3.0,10.0,intel,i7,nvidia,4.0,Integrated,0,0,0,0,,512.0,regular,low,medium
Lenovo,177990,medium,medium,16.0,236,20.0,16,1,0,14.0,99.9,4.0,1,0,1,1,0,0,1,1,0.0,3.0,2.0,13.0,intel,i9,nvidia,8.0,rtx4070,0,0,0,1,,1024.0,regular,high,high
Dell,51487,medium,medium,15.6,141,12.0,8,1,0,10.0,41.0,3.0,1,0,1,0,0,0,1,0,1.0,2.0,0.0,12.0,intel,i5,intel,0.0,Integrated,1,0,0,0,,512.0,regular,low,medium
Asus,94990,thick,heavy,16.0,142,16.0,16,1,0,10.0,72.0,4.0,1,0,0,1,0,0,1,0,0.0,2.0,1.0,13.0,intel,i5,nvidia,6.0,rtx3050,0,0,0,1,,1024.0,regular,high,medium
Ultimus,25990,slim,lite,14.1,156,8.0,8,0,0,4.0,38.0,2.0,1,1,0,0,0,0,0,0,0.0,2.0,1.0,10.0,intel,i5,intel,0.0,Integrated,0,0,1,0,,512.0,regular,low,high
Infinix,47990,slim,lite,14.0,157,12.0,16,0,0,10.0,50.0,3.0,1,0,0,0,0,0,1,0,0.0,0.0,2.0,12.0,intel,i7,intel,0.0,Integrated,0,0,1,0,,512.0,regular,low,high
MSI,45990,medium,medium,15.6,141,12.0,8,1,0,6.0,50.0,3.0,1,1,0,1,0,0,1,0,0.0,3.0,1.0,11.0,intel,i5,nvidia,4.0,gtx1650,0,0,1,0,,512.0,regular,high,medium
MSI,55990,medium,medium,15.6,141,12.0,16,1,0,6.0,52.4,3.0,1,1,0,1,0,0,1,0,0.0,3.0,1.0,11.0,intel,i5,nvidia,4.0,rtx3050,0,0,1,0,512.0,512.0,regular,medium,medium
Asus,70500,thick,heavy,14.0,162,16.0,16,0,1,8.0,70.0,3.0,1,0,0,0,0,0,1,0,1.0,1.0,1.0,5.0,amd,5,amd,0.0,Integrated,1,0,0,0,,1024.0,regular,low,high
Asus,65500,medium,medium,14.0,162,12.0,16,0,1,6.0,70.0,3.0,1,0,0,0,0,0,1,0,1.0,1.0,1.0,5.0,amd,5,amd,0.0,Integrated,1,0,0,0,,1024.0,regular,low,high
Lenovo,40500,medium,medium,15.6,141,8.0,4,1,0,4.0,50.0,3.0,1,1,0,0,0,0,0,0,1.0,1.0,1.0,4.0,amd,3,intel,0.0,Integrated,0,0,1,0,,256.0,regular,high,medium
Lenovo,90000,thick,heavy,14.0,157,16.0,16,1,0,8.0,50.0,3.0,1,1,0,0,0,0,0,0,0.0,2.0,2.0,4.0,amd,5,amd,0.0,Integrated,0,1,0,0,,512.0,regular,medium,high
MSI,36990,medium,medium,15.6,141,8.0,8,1,0,4.0,50.0,3.0,1,0,0,0,0,0,1,0,2.0,1.0,1.0,11.0,intel,i5,intel,0.0,Integrated,0,0,1,0,,512.0,regular,medium,medium
MSI,29990,medium,medium,15.6,141,4.0,8,1,0,2.0,50.0,3.0,1,0,0,0,0,0,1,0,2.0,1.0,1.0,11.0,intel,i3,intel,0.0,Integrated,0,0,1,0,,512.0,regular,low,medium
Lenovo,62990,thick,heavy,15.6,141,12.0,16,1,0,6.0,60.0,4.0,1,1,0,0,0,0,1,0,0.0,2.0,1.0,6.0,amd,5,nvidia,4.0,rtx3050,0,0,0,1,,512.0,regular,low,medium
Lenovo,40990,medium,medium,15.6,157,8.0,8,1,0,6.0,45.0,3.0,1,0,1,0,0,0,0,0,1.0,1.0,1.0,12.0,intel,i3,intel,0.0,Integrated,0,0,1,0,,512.0,regular,high,high
Lenovo,34499,medium,medium,15.6,141,8.0,8,1,0,4.0,45.0,3.0,1,1,1,1,0,0,1,1,0.0,2.0,2.0,7.0,amd,3,amd,0.0,Integrated,0,0,1,0,,512.0,regular,medium,medium
MSI,38990,medium,lite,14.0,157,8.0,16,1,0,4.0,50.0,3.0,1,0,0,0,0,0,1,0,2.0,1.0,1.0,11.0,intel,i5,intel,0.0,Integrated,0,0,1,0,,512.0,popular,low,high
Asus,85990,thick,heavy,15.6,141,16.0,16,1,0,12.0,90.0,4.0,1,1,0,1,0,0,1,0,0.0,2.0,2.0,12.0,intel,i5,nvidia,4.0,rtx3050,0,0,1,0,,512.0,regular,high,medium
Lenovo,66290,slim,medium,15.6,141,8.0,8,1,0,4.0,42.0,3.0,1,0,1,0,0,0,1,0,1.0,1.0,1.0,7.0,amd,5,amd,0.0,Integrated,0,0,1,0,,512.0,regular,low,medium
Lenovo,67990,medium,heavy,15.6,141,12.0,16,1,0,8.0,60.0,6.0,1,1,0,0,0,0,1,0,0.0,2.0,1.0,12.0,intel,i5,nvidia,4.0,rtx3050,0,0,0,1,,512.0,popular,low,medium
Asus,42990,medium,medium,14.0,157,4.0,16,1,0,2.0,38.0,2.0,1,0,0,0,0,0,0,1,2.0,1.0,1.0,11.0,intel,i3,intel,0.0,Integrated,1,0,0,0,,512.0,popular,low,high
Lenovo,54990,thick,heavy,15.6,141,12.0,8,1,0,6.0,60.0,4.0,1,1,0,0,0,0,1,0,0.0,2.0,1.0,6.0,amd,5,nvidia,4.0,rtx3050,0,0,0,1,,512.0,regular,medium,medium
HP,52290,slim,medium,15.6,157,12.0,8,1,0,6.0,41.0,3.0,1,0,0,0,0,0,1,0,0.0,2.0,1.0,5.0,amd,5,amd,0.0,Integrated,1,0,0,0,,512.0,regular,medium,high
Asus,109990,slim,medium,15.6,212,20.0,16,1,0,14.0,72.0,4.0,1,0,0,1,0,0,1,1,1.0,1.0,1.0,13.0,intel,i9,intel,0.0,Integrated,0,0,1,0,,1024.0,regular,high,high
Honor,48990,slim,medium,16.0,142,12.0,16,1,0,8.0,60.0,2.0,1,0,0,0,0,0,1,1,0.0,2.0,1.0,12.0,intel,i5,intel,0.0,Integrated,1,0,0,0,,512.0,popular,low,medium
