laptop_model,brand,price,num_votes,ratings,thickness,weight,warranty,screen_size,resolution_width,resolution_height,ppi,threads,ram,antiglare,aspect_ratio,touch_screen,cores,battery_capacity,battery_cell,hdmi,ethernet,multi_card_reader,thunderbolt,display_port,vga,backlit,fingerprint_sensor,inbuilt_microphone,usb2,usb3,typec,processor_gen,processor_brand,processor_model,graphics_brand,graphics_capacity,graphics_model,everyday_use,business,performance,gaming,hdd,ssd,popularity,quality_type,ppi_type
Apple MacBook Air 2020 MGND3HN Laptop (Apple M1/ 8GB/ 256GB/ MacOS),Apple,69990,14846.0,4.7,slim,lite,1.0,13.3,2560.0,1600.0,227,,8,0,,0,8.0,49.9,,0,0,0,1,0,0,1,0,1,0.0,2.0,2.0,,apple,M1,apple,,Integrated,0,0,1,0,,256.0,viral,high,high
HP Victus 15-fb0147AX Gaming Laptop (AMD Ryzen 5 5600H/ 8GB/ 512GB SSD/ Win11/ 4GB Graph),HP,55999,97.0,4.3,thick,heavy,1.0,15.6,1920.0,1080.0,141,12.0,8,1,,1,6.0,52.5,,1,1,1,0,0,0,1,0,1,0.0,2.0,1.0,5.0,amd,5,amd,4.0,rx6500m,0,0,0,1,,512.0,regular,medium,medium
Asus TUF Gaming F15 FX577ZC-HN192W Gaming Laptop (12th Gen Core i7/ 16GB/1TB SSD/ Win11 / 4GB Graph),Asus,85990,68.0,4.4,thick,heavy,1.0,15.6,1920.0,1080.0,141,20.0,16,1,,0,14.0,76.0,4.0,1,1,0,1,0,0,1,0,1,0.0,2.0,2.0,12.0,intel,i7,nvidia,4.0,rtx3050,0,0,1,0,,1024.0,regular,medium,medium
Samsung Galaxy Book2 NP550XED-KA2IN Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11),Samsung,49990,332.0,4.3,medium,medium,1.0,15.6,1920.0,1080.0,141,12.0,16,1,,0,10.0,43.0,4.0,1,1,0,0,0,0,0,0,1,1.0,1.0,2.0,12.0,intel,i5,intel,,Integrated,0,1,0,0,,512.0,popular,medium,medium
Dell Inspiron 5520 Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11/ 4GB Graph),Dell,67190,119.0,4.35,thick,heavy,1.0,15.6,1920.0,1080.0,141,16.0,16,1,,0,12.0,56.0,3.0,1,1,0,0,0,0,1,0,1,0.0,3.0,1.0,12.0,intel,i5,nvidia,4.0,rtx3050,0,0,0,1,,512.0,regular,medium,medium
HP 15s-eq2132AU Laptop (AMD Ryzen 5 5500U/ 16GB/ 512GB SSD/ Win11 Home),HP,45990,66.0,4.25,slim,medium,1.0,15.6,1920.0,1080.0,141,12.0,16,1,,0,6.0,,3.0,1,0,1,0,0,0,1,0,1,0.0,2.0,1.0,5.0,amd,5,amd,,Integrated,0,0,1,0,,512.0,regular,low,medium
Acer One 14 Z8-415 2023 Laptop (11th Gen Core i5 / 16GB/ 512GB SSD/ Win11 Home),Acer,34990,250.0,3.85,medium,lite,1.0,14.0,1920.0,1080.0,135,8.0,16,0,,0,4.0,45.5,2.0,1,1,0,0,0,0,0,0,1,1.0,2.0,1.0,11.0,intel,i5,intel,,Integrated,1,0,0,0,,512.0,popular,low,low
Acer Aspire 7 A715-76G NH.QMFSI.004 Gaming Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home/ 4GB Graph),Acer,59990,233.0,4.2,,heavy,1.0,15.6,1920.0,1080.0,141,12.0,16,1,,0,8.0,50.0,3.0,1,1,0,1,0,0,1,1,1,0.0,3.0,1.0,12.0,intel,i5,nvidia,4.0,Integrated,0,0,1,0,,512.0,popular,low,medium
Asus Vivobook S15 2022 K3502ZA-KJ542WS Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11),Asus,58990,169.0,4.3,,medium,1.0,15.6,1920.0,1080.0,141,16.0,16,1,16:9,0,12.0,70.0,3.0,1,0,0,1,0,0,1,1,1,1.0,1.0,2.0,12.0,intel,i5,intel,,Integrated,0,0,1,0,,512.0,regular,medium,medium
Asus TUF Gaming F15 FX506HF-HN024W Gaming Laptop (11th Gen Core i5/ 8GB/ 512GB SSD/ Win11/ 4GB Graph),Asus,57990,166.0,4.4,thick,heavy,1.0,15.6,1920.0,1080.0,141,12.0,8,1,16:9,0,6.0,90.0,3.0,1,1,0,1,0,0,1,0,1,0.0,3.0,1.0,11.0,intel,i5,nvidia,4.0,rtx2050,0,0,0,1,,512.0,regular,medium,medium
HP Victus 16-d0311TX Gaming Laptop (11th Gen Core i5/ 16GB/ 512GB SSD/ Win11/ 4GB Graph),HP,62990,263.0,4.1,thick,heavy,1.0,16.1,1920.0,1080.0,137,12.0,16,1,16:9,0,6.0,70.0,4.0,1,1,1,0,0,0,1,0,1,0.0,3.0,1.0,11.0,intel,i5,nvidia,4.0,gtx1650,0,0,0,1,,512.0,popular,low,low
Samsung Galaxy Book2 NP550XED-KA1IN 15 Laptop (12th Gen Core i5/ 8GB/ 512GB SSD/ Win11),Samsung,44990,335.0,4.2,medium,medium,1.0,15.6,1920.0,1080.0,141,12.0,8,1,,0,10.0,43.0,4.0,1,1,0,0,0,0,0,0,1,1.0,1.0,2.0,12.0,intel,i5,intel,,Integrated,0,1,0,0,,512.0,popular,low,medium
HP 15s-fq5007TU Laptop (12th Gen Core i3/ 8GB/ 512GB SSD/ Win11 Home),HP,41990,1624.0,4.2,slim,medium,1.0,15.6,1920.0,1080.0,141,8.0,8,1,16:9,0,6.0,41.0,3.0,1,0,1,0,0,0,1,0,1,0.0,2.0,1.0,12.0,intel,i3,intel,,Integrated,1,0,0,0,,512.0,popular,low,medium
Acer Nitro V ANV15-51 2023 Gaming Laptop (13th Gen Core i5/ 16GB/ 512GB SSD/ Win11/ 6GB Graph),Acer,79990,99.0,4.45,thick,heavy,1.0,15.6,1920.0,1080.0,141,12.0,16,1,,0,8.0,,,1,1,0,0,0,0,1,0,1,0.0,3.0,1.0,13.0,intel,i5,nvidia,6.0,rtx4050,0,0,0,1,,512.0,regular,medium,medium
Asus Vivobook 15 X1502ZA-EJ741WS Laptop (12th Gen Core i7/ 16GB/ 512GB SSD/ Win11),Asus,64990,349.0,4.0,medium,medium,1.0,15.6,1920.0,1080.0,141,16.0,16,1,16:9,0,10.0,42.0,3.0,1,0,0,0,0,0,1,1,1,1.0,2.0,1.0,12.0,intel,i7,intel,,Integrated,0,0,1,0,,512.0,popular,low,medium
Acer Swift 3 OLED NX.KAWSI.002 Laptop (12th Gen Core i5/ 16GB/ 512B SSD/ Win11 Home),Acer,62990,236.0,4.55,slim,lite,1.0,14.0,2880.0,1800.0,243,16.0,16,1,16:10,0,12.0,,3.0,1,0,0,1,0,0,1,1,1,0.0,2.0,2.0,12.0,intel,i5,intel,,Integrated,0,0,1,0,,512.0,popular,high,high
Lenovo Thinkpad E15 G4 21DJA0Y0IN Laptop (12th Gen Core i7/ 16GB/ 512GB SSD/ Win11 Home),Lenovo,59990,69.0,4.0,,medium,1.0,15.6,1920.0,1080.0,141,12.0,16,1,,0,10.0,,3.0,1,1,1,0,0,0,1,0,1,0.0,2.0,2.0,12.0,intel,i7,intel,,Integrated,0,0,1,0,,512.0,regular,low,medium
Asus TUF Gaming F15 FX506HE-HN385WS Gaming Laptop (11th Gen Core i7/ 16GB/ 1TB SSD/ Win11/ 4GB Graph),Asus,80980,90.0,4.25,thick,heavy,1.0,15.6,1920.0,1080.0,141,16.0,16,1,16:9,0,8.0,90.0,4.0,1,1,0,1,0,0,1,0,1,0.0,3.0,1.0,11.0,intel,i7,nvidia,4.0,rtx3050,0,0,0,1,,1024.0,regular,low,medium
HP 14-ep0068TU Laptop (13th Gen Core i3/ 8GB/ 512GB SSD/ Win11 Home),HP,38490,163.0,4.15,,lite,1.0,14.0,1920.0,1080.0,157,8.0,8,1,,0,8.0,41.0,3.0,1,0,0,0,0,0,0,0,1,0.0,2.0,1.0,13.0,intel,i3,intel,,Integrated,0,0,1,0,,512.0,regular,low,high
Asus Vivobook 16X 2022 M1603QA-MB711WS Laptop (Ryzen 7-5800H/ 16GB/ 512GB SSD/ Win11 Home),Asus,61990,153.0,4.4,medium,medium,1.0,16.0,1920.0,1200.0,283,16.0,16,1,16:10,0,8.0,,,1,0,0,0,0,0,1,1,1,1.0,2.0,1.0,5.0,amd,5,amd,,Integrated,1,0,0,0,,512.0,regular,medium,high
Infinix INBook X3 Slim XL422 Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win 11 Home),Infinix,37990,219.0,4.15,slim,lite,1.0,14.0,1920.0,1080.0,157,12.0,16,0,,0,10.0,50.0,3.0,1,0,0,0,0,0,1,0,1,0.0,0.0,2.0,12.0,intel,i5,intel,,Integrated,0,0,1,0,,512.0,popular,low,high
Lenovo Legion Y9000X 2023 Laptop (13th Gen Core i9/ 32GB/ 1TB SSD/ Win11/ 8GB Graph),Lenovo,148990,87.0,4.2,,,1.0,16.0,3200.0,2000.0,236,20.0,32,1,16:10,0,14.0,99.0,3.0,1,1,0,1,0,0,1,0,1,0.0,3.0,2.0,13.0,intel,i9,nvidia,8.0,rtx4060,0,0,0,1,,1024.0,regular,low,high
HP Victus 15-fa0555TX Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home/ 4GB Graph),HP,71960,104.0,4.35,thick,heavy,1.0,15.6,1920.0,1080.0,141,12.0,16,1,,0,8.0,70.0,4.0,1,1,1,0,0,0,1,0,1,0.0,2.0,1.0,12.0,intel,i5,nvidia,4.0,rtx3050,0,0,0,1,,512.0,regular,medium,medium
Honor MagicBook X14 2023 FRI-F56 Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home),Honor,46990,442.0,4.2,slim,lite,1.0,14.0,1920.0,1200.0,162,12.0,16,1,16:9,0,8.0,60.0,,1,0,0,0,0,0,1,1,1,0.0,2.0,1.0,12.0,intel,i5,intel,,Integrated,1,0,0,0,,512.0,popular,low,high
Wings Nuvobook S1 Laptop (11th Gen Core i3/ 8GB/ 256GB SSD/ Win11),Wings,25990,92.0,4.5,medium,medium,1.0,15.6,1080.0,1920.0,141,8.0,8,1,,0,4.0,17.85,,1,0,0,0,0,0,1,0,1,1.0,2.0,1.0,11.0,intel,i3,intel,,Integrated,0,1,0,0,,256.0,regular,medium,medium
Acer Aspire 7 A715-76G UN.QMESI.004 Gaming Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home/ 4GB Graph),Acer,49990,458.0,4.15,medium,heavy,1.0,15.6,1920.0,1080.0,141,12.0,16,0,,0,8.0,,3.0,1,1,0,0,0,0,1,0,1,0.0,3.0,1.0,12.0,intel,i5,nvidia,4.0,gtx1650,0,0,1,0,,512.0,popular,low,medium
MSI GF63 Thin 11UC-1294IN Gaming Laptop (11th Gen Core i7/ 16GB/ 1TB 256GB SSD/ Win11/ 4GB Graph),MSI,63990,713.0,4.3,medium,medium,2.0,15.6,1920.0,1080.0,141,16.0,16,1,,0,8.0,,3.0,1,1,0,0,0,0,1,0,1,0.0,3.0,1.0,11.0,intel,i7,nvidia,4.0,rtx3050,0,0,1,0,1024.0,0.0,popular,medium,medium
MSI GF63 Thin 11UC-1293IN Gaming Laptop (11th Gen Core i7/ 16GB/ 512GB SSD/ Win11 Home/ 4GB Graph),MSI,64990,705.0,4.3,medium,medium,2.0,15.6,1920.0,1080.0,141,16.0,16,1,,0,8.0,52.4,3.0,1,1,0,0,0,0,1,0,1,0.0,3.0,1.0,11.0,intel,i7,nvidia,4.0,rtx3050,0,0,0,1,,512.0,popular,medium,medium
Dell Inspiron 3520 D560896WIN9B Laptop (12th Gen Core i3/ 8GB/ 512GB SSD/ Win11),Dell,37516,478.0,4.1,medium,medium,1.0,15.6,1920.0,1080.0,141,8.0,8,1,,0,6.0,41.0,3.0,1,0,1,0,1,0,0,0,1,1.0,2.0,0.0,12.0,intel,i3,intel,,Integrated,1,0,0,0,,512.0,popular,low,medium
Asus Vivobook 16X 2022 M1603QA-MB511WS Laptop (Ryzen 5-5600H/ 16GB/ 512GB SSD/ Win11 Home),Asus,53981,149.0,4.25,medium,medium,1.0,16.0,1920.0,1200.0,142,12.0,16,1,16:10,0,6.0,50.0,3.0,1,0,0,0,0,0,1,1,1,1.0,2.0,1.0,5.0,amd,5,amd,,Integrated,0,0,0,1,,512.0,regular,low,medium
HP 247 G8 67U77PA Laptop (Athlon P-3045B HD/ 8GB/ 1TB HDD/ Win11),HP,22980,1043.0,3.55,medium,lite,1.0,14.0,1366.0,768.0,112,,8,1,,0,,,,1,1,1,0,0,0,0,0,1,0.0,2.0,1.0,,amd,3,amd,,Integrated,1,0,0,0,1024.0,0.0,popular,low,low
Xiaomi Mi Notebook Ultra Laptop (11th Gen Core i5/ 16GB/ 512GB SSD/ Win10),Xiaomi,46990,2073.0,4.2,slim,medium,1.0,15.6,3200.0,2000.0,242,8.0,16,0,16:10,0,4.0,,,1,0,0,1,0,0,1,1,1,1.0,1.0,1.0,11.0,intel,i5,intel,,Integrated,1,0,0,0,,512.0,viral,low,high
Lenovo IdeaPad Slim 5 14IAH8 83BF000UIN Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11),Lenovo,56990,76.0,4.7,,lite,1.0,14.0,1920.0,1080.0,141,12.0,16,1,,0,8.0,56.6,,1,0,0,0,0,0,1,0,1,0.0,2.0,2.0,12.0,intel,i5,intel,,Integrated,1,0,0,0,,512.0,regular,high,medium
Infinix INBook X3 Slim XL422 2023 Laptop (12th Gen Core i3/ 8GB/ 512GB SSD/ Win 11 Home),Infinix,29990,154.0,4.35,thick,lite,1.0,14.0,1920.0,1080.0,157,8.0,8,0,16:9,0,6.0,50.0,3.0,1,0,0,0,0,0,1,0,1,0.0,0.0,2.0,12.0,intel,i3,intel,,Integrated,0,0,1,0,,512.0,regular,medium,high
Asus ROG Strix G16 2023 G614JJ-N3086WS Gaming Laptop (13th Gen Core i5/ 16GB/ 512GB SSD/ Win11/ 6GB Graph),Asus,89990,107.0,4.55,thick,heavy,1.0,16.0,1920.0,1200.0,142,16.0,16,1,16:10,0,10.0,,4.0,1,0,0,1,0,0,1,0,1,0.0,2.0,1.0,13.0,intel,i5,nvidia,6.0,rtx3050,0,0,0,1,,512.0,regular,high,medium
Asus Vivobook 15 X1502ZA-EJ523WS Laptop (12th Gen Core i5/ 8GB/ 512GB SSD/ Win11),Asus,55990,73.0,4.0,,medium,1.0,15.6,1920.0,1080.0,141,16.0,8,1,16:9,0,12.0,42.0,3.0,1,0,0,0,0,0,1,1,1,1.0,2.0,1.0,12.0,intel,i5,intel,,Integrated,0,0,1,0,,512.0,regular,low,medium
Acer Aspire Lite AL15-51 UN.431SI.252 Laptop (11th Gen Core i3/ 8GB/ 512GB SSD/ Win11),Acer,27990,141.0,4.35,medium,medium,1.0,15.6,1920.0,1080.0,141,4.0,8,1,16:9,0,2.0,36.0,3.0,1,1,1,0,0,0,0,0,1,1.0,2.0,1.0,11.0,intel,i3,intel,,Integrated,0,0,1,0,,512.0,regular,medium,medium
Acer One 14 Z8-415UN.599SI.009 Laptop (11th Gen Core i3 / 8GB/ 256GB SSD/ Win11 Home),Acer,24990,1153.0,4.1,medium,lite,1.0,14.0,1920.0,1080.0,157,4.0,8,1,,0,2.0,45.5,,1,1,0,0,0,0,0,0,1,1.0,2.0,1.0,11.0,intel,i3,intel,,Integrated,1,0,0,0,,256.0,popular,low,high
Acer One 14 Z8-415 Laptop (11th Gen Core i5 / 8GB/ 512GB SSD/ Win11 Home),Acer,32990,783.0,3.95,medium,lite,1.0,14.0,1920.0,1080.0,135,8.0,8,0,,0,4.0,45.5,2.0,1,1,0,0,0,0,0,0,1,1.0,2.0,1.0,11.0,intel,i5,intel,,Integrated,1,0,0,0,,512.0,popular,low,low
HP 255 G9 7B1L8PA Laptop (AMD Ryzen 5 5625U/ 8GB/ 512 GB SSD/ Win11 Home),HP,36850,106.0,4.0,slim,medium,1.0,15.6,1366.0,768.0,100,12.0,8,1,,0,6.0,41.0,3.0,1,1,1,0,0,0,0,0,1,0.0,2.0,1.0,5.0,amd,5,amd,,Integrated,1,0,0,0,,512.0,regular,low,low
Lenovo V15 82C70005UK Laptop (AMD Ryzen 5 5500U/ 8GB/ 512GB SSD/ Win11 Home),Lenovo,36990,159.0,3.95,medium,medium,1.0,15.6,1920.0,1080.0,147,12.0,8,1,,0,6.0,38.0,,1,1,0,0,0,0,0,0,1,1.0,1.0,1.0,5.0,amd,5,amd,,Integrated,0,0,1,0,,512.0,regular,low,high
Dell G15-5520 Gaming Laptop (12th Gen Core i5/ 8GB/ 512GB SSD/ Win11/ 4GB Graph),Dell,67990,246.0,4.3,thick,heavy,1.0,15.6,1920.0,1080.0,141,16.0,8,1,,0,12.0,41.0,3.0,1,1,0,0,0,0,1,0,1,1.0,3.0,1.0,12.0,intel,i5,nvidia,4.0,rtx3050,0,0,0,1,,512.0,popular,medium,medium
Lenovo E41-55 Laptop (Athlon Pro 3045B/ 8GB/ 256 SSD/ Win11),Lenovo,18990,60.0,4.2,,medium,1.0,14.0,1920.0,1080.0,157,2.0,8,1,,0,2.0,,,1,0,1,0,0,0,0,0,1,1.0,1.0,1.0,,amd,3,amd,,Integrated,1,0,0,0,,256.0,regular,low,high
Dell Inspiron 3511 Laptop (11th Gen Core i3/ 8GB/ 512GB SSD/ Win11 Home),Dell,35980,1375.0,4.1,thick,medium,1.0,15.56,1920.0,1080.0,147,4.0,8,0,16:9,0,2.0,,3.0,1,0,1,0,0,0,1,0,1,1.0,2.0,0.0,11.0,intel,i3,intel,,Integrated,1,0,0,0,,512.0,popular,low,high
HP Victus 16-s0095AX Gaming Laptop (AMD Ryzen 7 7840HS/ 16GB/ 512B SSD/ Win11/ 6GB Graph),HP,80990,104.0,4.0,thick,heavy,1.0,16.1,1920.0,1080.0,137,16.0,16,1,16:9,0,8.0,70.0,4.0,1,1,0,0,0,0,1,0,1,0.0,3.0,1.0,7.0,amd,7,nvidia,6.0,rtx3050,0,0,0,1,,512.0,regular,low,low
HP 15S-FQ5202TU Laptop (12th Gen Core i5/ 8 GB RAM/ 512 GB SSD/ Win 11),HP,53999,107.0,4.3,thick,medium,1.0,15.6,1920.0,1080.0,141,12.0,8,1,16:9,0,10.0,41.0,3.0,1,0,1,0,0,0,0,0,1,0.0,0.0,1.0,12.0,intel,i5,intel,,Integrated,1,0,0,0,,512.0,regular,medium,medium
Lenovo IdeaPad Slim 5 83BG000PIN Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11),Lenovo,58989,110.0,4.6,slim,medium,1.0,16.0,1920.0,1080.0,141,12.0,16,1,16:10,0,8.0,56.6,,1,0,0,0,0,0,1,0,1,0.0,2.0,2.0,12.0,intel,i5,intel,,Integrated,1,0,0,0,,512.0,regular,high,medium
MSI Katana 15 B13VFK-843IN Gaming Laptop (13th Gen Core i9/ 16GB/ 1TB SSD/ Win11 Home/ 8GB Graph),MSI,126990,110.0,4.1,thick,heavy,2.0,15.6,1920.0,1080.0,141,20.0,16,1,,0,14.0,53.5,3.0,1,1,0,0,0,0,1,0,1,1.0,2.0,1.0,13.0,intel,i9,nvidia,8.0,rtx4060,0,0,1,0,,1024.0,regular,low,medium
Acer Aspire Lite AL15-51 2023 Laptop (11th Gen Core i5/ 16GB/ 512GB SSD/ Win11),Acer,42999,154.0,3.75,medium,medium,1.0,15.6,1920.0,1080.0,141,8.0,16,1,16:9,0,4.0,36.0,3.0,1,1,1,0,0,0,0,0,1,1.0,2.0,1.0,11.0,intel,i5,intel,,Integrated,0,0,1,0,,512.0,regular,low,medium
Dell Inspiron 5430 Laptop (13th Gen Core i7/ 16GB/ 1TB SSD/ Win11),Dell,84499,118.0,4.05,medium,medium,1.0,14.0,1920.0,1200.0,141,16.0,16,1,16:10,0,12.0,54.0,4.0,1,0,1,0,0,0,1,1,1,0.0,2.0,1.0,13.0,intel,i7,intel,,Integrated,1,0,0,0,,1024.0,regular,low,medium
Infinix INBook X2 Slim Series Laptop (11th Gen Core i3/ 8GB/ 256GB SSD/ Win 11 Home),Infinix,30990,423.0,4.3,slim,lite,1.0,14.0,1920.0,1080.0,157,4.0,8,0,,0,2.0,50.0,,1,0,0,0,0,0,1,0,1,0.0,2.0,2.0,11.0,intel,i3,intel,,Integrated,1,0,0,0,,256.0,popular,medium,high
HP Pavilion 15-eg3081TU Laptop (13th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home),HP,74990,68.0,4.55,slim,medium,1.0,15.6,1920.0,1080.0,141,16.0,16,1,,0,12.0,41.0,3.0,1,0,0,0,0,0,1,0,1,0.0,2.0,1.0,13.0,intel,i5,intel,,Integrated,0,0,1,0,,512.0,regular,high,medium
HP Victus 16-d0333TX Gaming Laptop (11th Gen Core i5/ 16GB/ 512GB SSD/ Win11/ 4GB Graph),HP,62750,439.0,4.35,thick,heavy,1.0,16.1,1920.0,1080.0,137,12.0,16,1,16:9,0,6.0,70.0,4.0,1,1,1,0,1,0,1,0,1,0.0,3.0,1.0,11.0,intel,i5,nvidia,4.0,gtx1650,0,0,0,1,,512.0,popular,medium,low
Asus Vivobook Pro 15 M6500QC-HN542WS Laptop (Ryzen 5 5600H/ 16GB/ 512GB SSD/ Win11/ 4GB Graph),Asus,65990,251.0,4.3,medium,medium,1.0,15.6,1920.0,1080.0,141,12.0,16,1,16:9,0,6.0,50.0,3.0,1,0,0,0,0,0,1,1,1,2.0,1.0,1.0,5.0,amd,5,nvidia,4.0,rtx3050,0,0,0,1,,512.0,popular,medium,medium
Primebook 4G Android Laptop (MediaTek Kompanio 500/ 4GB/ 64GB eMMC/ Android 11),Primebook,11990,1923.0,4.2,medium,lite,1.0,11.6,1366.0,768.0,135,,4,0,,0,8.0,,,0,0,0,0,0,0,0,0,1,0.0,2.0,0.0,,mediatek,7,arm,,Integrated,1,0,0,0,64.0,0.0,popular,low,low
Acer Aspire 5 A515-57G UN.K9TSI.002 Gaming Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home/ 4GB Graph),Acer,49990,750.0,4.0,slim,medium,1.0,15.6,1920.0,1080.0,141,16.0,16,1,,0,12.0,,3.0,1,1,0,1,0,0,1,0,1,0.0,2.0,2.0,12.0,intel,i5,nvidia,4.0,rtx2050,0,0,0,1,,512.0,popular,low,medium
Dell G15-5520 Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home/ 4GB Graph),Dell,72990,504.0,4.15,thick,heavy,1.0,15.6,1920.0,1080.0,141,16.0,16,1,,0,12.0,56.0,3.0,1,1,0,0,0,0,1,0,1,1.0,3.0,0.0,12.0,intel,i5,nvidia,4.0,rtx3050,0,0,0,1,,512.0,popular,low,medium
Asus VivoBook 15 X1500EA-EJ311W Laptop (11th Gen Core i3/ 8GB/ 256GB SSD/ Win11),Asus,29990,91.0,4.55,medium,medium,1.0,15.6,1920.0,1080.0,141,4.0,8,1,16:9,0,2.0,37.0,2.0,1,0,0,0,0,0,1,1,1,2.0,1.0,1.0,11.0,intel,i3,intel,,Integrated,0,0,1,0,,256.0,regular,high,medium
Acer Predator Helios Neo 16 2023 PHN16-71 Gaming Laptop (13th Gen Core i9/ 16GB/ 1TB SSD/ Win11/ 8GB Graph),Acer,144990,101.0,4.65,thick,heavy,1.0,16.0,1920.0,1200.0,142,32.0,16,1,,0,24.0,90.0,4.0,1,1,0,1,0,0,1,0,1,0.0,3.0,2.0,13.0,intel,i9,nvidia,8.0,rtx4070,0,0,1,0,,1024.0,regular,high,medium
