brand,price,thickness,weight,screen_size,ppi,threads,ram,antiglare,touch_screen,cores,battery_capacity,battery_cell,hdmi,ethernet,multi_card_reader,thunderbolt,display_port,vga,backlit,fingerprint_sensor,usb2,usb3,typec,processor_gen,processor_brand,processor_model,graphics_brand,graphics_capacity,graphics_model,everyday_use,business,performance,gaming,hdd,ssd
Primebook,11990,19.3,1.2,11.6,135,12.0,4,0,0,8.0,,,0,0,0,0,0,0,0,0,,2.0,,7.0,mediatek,7,arm,0.0,Integrated,1,0,0,0,64.0,64.0
Acer,49990,17.9,1.8,15.6,141,16.0,16,1,0,12.0,50.0,3.0,1,1,0,1,0,0,1,0,,2.0,2.0,12.0,intel,i5,nvidia,4.0,rtx2050,0,0,0,1,,512.0
Dell,72990,26.9,2.57,15.6,141,16.0,16,1,0,12.0,56.0,3.0,1,1,0,0,0,0,1,0,1.0,3.0,,12.0,intel,i5,nvidia,4.0,rtx3050,0,0,0,1,,512.0
Asus,29990,19.9,1.8,15.6,141,4.0,8,1,0,2.0,37.0,2.0,1,0,0,0,0,0,1,1,2.0,1.0,1.0,11.0,intel,i3,intel,0.0,Integrated,0,0,1,0,,256.0
Acer,144990,2.6,2.6,16.0,142,32.0,16,1,0,24.0,90.0,4.0,1,1,0,1,0,0,1,0,,3.0,2.0,13.0,intel,i9,nvidia,8.0,rtx4070,0,0,1,0,,1024.0
Asus,109990,18.9,1.45,14.0,243,20.0,16,1,0,14.0,63.0,3.0,1,0,0,0,0,0,1,1,,2.0,1.0,13.0,intel,i9,nvidia,4.0,rtx3050,0,0,1,0,,1024.0
HP,87990,22.5,2.29,15.6,137,16.0,16,1,0,10.0,70.0,4.0,1,1,1,0,0,0,1,0,,2.0,1.0,12.0,intel,i7,nvidia,4.0,rtx3050,0,0,0,1,,1024.0
Asus,88990,27.0,2.5,17.3,170,16.0,16,1,0,8.0,56.0,4.0,1,1,0,0,0,0,1,0,,2.0,2.0,6.0,amd,7,nvidia,4.0,rtx3050,0,0,0,1,,512.0
HP,56990,23.5,2.29,15.6,141,12.0,16,1,0,6.0,52.5,3.0,1,1,1,0,0,0,1,0,,2.0,1.0,5.0,amd,5,amd,4.0,rx6500m,0,0,0,1,,512.0
MSI,48990,0.0,1.86,15.6,141,12.0,16,1,0,6.0,50.0,3.0,1,1,0,1,0,0,1,0,,3.0,1.0,11.0,intel,i5,nvidia,4.0,gtx1650,0,0,1,0,,512.0
Lenovo,93050,25.2,2.4,15.6,184,12.0,16,1,0,8.0,60.0,3.0,1,1,0,1,0,0,1,0,,3.0,1.0,12.0,intel,i5,nvidia,6.0,rtx3050,0,0,0,1,,512.0
Lenovo,89999,0.0,heavy,15.6,184,12.0,8,1,0,8.0,60.0,3.0,1,1,0,1,0,0,1,0,,3.0,1.0,13.0,intel,i5,nvidia,8.0,rtx4060,0,0,0,1,,512.0
Walker,13990,0.0,lite,14.1,156,2.0,4,1,0,2.0,18.5,2.0,1,0,0,0,0,0,0,0,1.0,1.0,,7.0,intel,7,intel,0.0,Integrated,0,0,1,0,,256.0
Asus,76990,25.0,2.2,15.6,141,16.0,8,1,0,12.0,90.0,4.0,1,1,0,1,0,0,1,0,1.0,2.0,1.0,12.0,intel,i5,nvidia,4.0,rtx3050,0,0,1,0,,512.0
Lenovo,23990,17.9,1.58,15.6,100,2.0,8,1,0,2.0,,,1,0,1,0,0,0,1,0,1.0,1.0,1.0,7.0,amd,7,amd,0.0,Integrated,0,0,1,0,,512.0
Infinix,23990,14.8,1.24,14.0,157,4.0,8,0,0,2.0,50.0,,1,0,0,0,0,0,1,0,,2.0,2.0,11.0,intel,i3,intel,0.0,Integrated,1,0,0,0,,512.0
Acer,97989,25.9,2.6,15.6,188,16.0,16,1,0,10.0,57.5,4.0,1,1,0,0,0,0,1,0,,3.0,1.0,12.0,intel,i7,nvidia,8.0,rtx3070ti,0,0,0,1,,1024.0
Asus,109990,22.4,2.2,15.6,141,20.0,16,1,0,14.0,90.0,4.0,1,1,0,1,0,0,1,0,,2.0,2.0,12.0,intel,i7,nvidia,8.0,rtx4060,0,0,1,0,,512.0
Asus,47741,19.9,1.7,15.6,141,12.0,8,1,0,10.0,42.0,3.0,1,0,0,0,0,0,1,1,1.0,2.0,1.0,12.0,intel,i5,intel,0.0,Integrated,0,0,1,0,,512.0
Asus,75990,17.9,1.7,15.6,212,16.0,16,1,0,12.0,72.0,4.0,1,0,0,1,0,0,1,1,1.0,1.0,1.0,13.0,intel,i5,intel,0.0,Integrated,0,0,1,0,,512.0
