,brand,price,thickness,weight,screen_size,ppi,threads,ram,antiglare,touch_screen,cores,battery_capacity,battery_cell,hdmi,ethernet,multi_card_reader,thunderbolt,display_port,vga,backlit,fingerprint_sensor,usb2,usb3,typec,processor_gen,processor_brand,processor_model,graphics_brand,graphics_capacity,graphics_model,everyday_use,business,performance,gaming,hdd,ssd,popularity,quality_type,ppi_type
398,Lenovo,44600,medium,medium,14,112,8.0,8,1,0,4.0,,2.0,1,1,0,0,0,0,0,0,1.0,1.0,1.0,11.0,intel,i5,intel,,Integrated,0,1,0,0,,512.0,regular,medium,low
399,HP,190721,,,16,182,16.0,32,1,0,8.0,83.0,6.0,1,1,0,0,0,0,1,0,0.0,2.0,2.0,7.0,amd,7,nvidia,8.0,rtx4070,0,0,0,1,,1024.0,regular,medium,high
400,HP,54990,,,15,141,12.0,8,1,0,6.0,52.5,3.0,1,1,1,0,0,0,1,0,0.0,2.0,1.0,5.0,amd,5,amd,4.0,rx6500m,0,0,0,1,,512.0,regular,high,medium
401,Dell,84490,,,14,141,12.0,16,1,0,10.0,54.0,4.0,1,0,1,0,0,0,1,1,0.0,2.0,1.0,13.0,intel,i7,intel,,Integrated,1,0,0,0,,1024.0,regular,low,medium
402,Dell,38990,,medium,15,141,4.0,8,1,0,2.0,,3.0,1,1,1,0,0,0,0,0,0.0,3.0,0.0,11.0,intel,i3,intel,,Integrated,1,0,0,0,,512.0,regular,high,medium
403,Fujitsu,109990,slim,lite,14,162,16.0,16,1,1,12.0,,4.0,1,1,0,0,0,0,1,1,0.0,2.0,2.0,13.0,intel,i7,intel,,Integrated,0,1,0,0,,1024.0,regular,high,high
404,Asus,61990,thick,heavy,15,141,12.0,16,1,0,6.0,,3.0,1,1,0,0,0,0,1,0,0.0,3.0,1.0,11.0,intel,i5,nvidia,4.0,rtx2050,0,0,0,1,,512.0,regular,high,medium
405,Asus,57990,thick,heavy,15,141,12.0,8,1,0,6.0,,3.0,1,1,0,0,0,0,1,0,0.0,3.0,1.0,11.0,intel,i5,nvidia,4.0,rtx2050,0,0,0,1,,512.0,popular,medium,medium
406,HP,64999,,,15,141,12.0,8,1,0,6.0,52.5,4.0,1,1,1,0,0,0,1,0,0.0,2.0,1.0,7.0,amd,3,nvidia,4.0,rtx2050,0,0,0,1,,512.0,regular,high,medium
407,Lenovo,52990,medium,medium,15,141,16.0,16,1,0,8.0,45.0,3.0,1,0,1,0,0,0,1,0,1.0,1.0,1.0,5.0,amd,5,amd,,Integrated,0,0,1,0,,512.0,regular,low,medium
408,HP,176108,thick,heavy,16,137,24.0,16,1,0,16.0,83.0,6.0,1,1,0,1,0,0,1,0,0.0,0.0,0.0,13.0,intel,i7,nvidia,8.0,rtx4060,1,0,0,0,,512.0,regular,low,low
409,Lenovo,58850,,heavy,15,141,8.0,8,1,0,4.0,45.0,3.0,1,1,0,0,0,0,1,0,0.0,0.0,1.0,11.0,intel,i5,nvidia,4.0,gtx1650,0,0,0,1,,512.0,regular,medium,medium
410,Asus,60990,thick,medium,15,141,12.0,16,1,0,6.0,50.0,3.0,1,0,0,0,0,0,1,1,0.0,0.0,1.0,5.0,amd,5,nvidia,4.0,gtx2050,1,0,0,0,,512.0,regular,high,medium
411,MSI,49990,medium,lite,14,157,12.0,16,0,0,10.0,,3.0,1,0,0,0,0,0,1,0,2.0,1.0,1.0,12.0,intel,i7,intel,,Integrated,0,0,1,0,,512.0,regular,high,high
412,Asus,38990,slim,lite,14,141,8.0,8,1,0,4.0,,3.0,1,0,0,0,0,0,1,0,1.0,1.0,1.0,7.0,amd,3,amd,,Integrated,0,0,1,0,,512.0,regular,high,medium
414,MSI,249990,medium,medium,16,283,20.0,32,1,0,14.0,99.9,4.0,1,1,0,0,0,0,1,1,0.0,1.0,2.0,13.0,intel,i9,nvidia,8.0,rtx4060,0,0,1,0,,1024.0,regular,high,high
415,Acer,44990,,,14,157,8.0,8,1,0,8.0,40.0,3.0,1,0,0,0,0,0,0,0,0.0,2.0,1.0,,intel,i3,intel,,Integrated,0,0,1,0,,512.0,regular,high,high
416,Lenovo,39990,medium,medium,15,141,4.0,8,1,0,2.0,45.0,,1,0,1,0,0,0,0,0,0.0,2.0,1.0,11.0,intel,i3,intel,,Integrated,0,0,1,0,,512.0,regular,low,medium
417,Lenovo,68990,medium,medium,14,142,12.0,16,1,0,8.0,56.6,3.0,1,0,0,0,0,0,1,0,0.0,2.0,2.0,13.0,intel,i5,intel,,Integrated,0,0,1,0,,512.0,regular,medium,medium
418,Lenovo,87490,slim,lite,14,162,16.0,16,0,0,10.0,56.6,,1,0,0,0,0,0,1,0,0.0,2.0,2.0,13.0,intel,i7,intel,,Integrated,0,0,1,0,,512.0,regular,medium,high
419,Dell,39399,medium,medium,15,141,4.0,8,1,0,2.0,41.0,3.0,1,0,1,0,0,0,0,0,1.0,2.0,0.0,11.0,intel,i3,intel,,Integrated,1,0,0,0,,512.0,regular,high,medium
420,Dell,45990,medium,medium,15,141,6.0,8,0,0,5.0,41.0,3.0,1,0,0,0,0,0,0,0,1.0,2.0,0.0,13.0,intel,i3,intel,,Integrated,1,0,0,0,,1024.0,regular,low,medium
421,Dell,49490,,medium,15,147,8.0,8,1,0,4.0,41.0,3.0,1,0,1,0,0,0,0,0,1.0,1.0,1.0,7.0,amd,5,amd,,Integrated,1,0,0,0,,1024.0,regular,medium,high
422,Dell,35990,thick,medium,15,141,8.0,8,1,0,4.0,41.0,3.0,1,0,1,0,0,0,1,0,1.0,1.0,1.0,5.0,amd,3,amd,,Integrated,1,0,0,0,,512.0,regular,medium,medium
423,Dell,98990,,,13,227,16.0,16,1,0,12.0,,4.0,1,0,0,1,0,0,1,1,0.0,1.0,2.0,13.0,intel,i7,intel,,Integrated,1,0,0,0,,1024.0,regular,high,high
